Date;Equipe;Event
24/07/2023;D;
25/07/2023;D;
26/07/2023;E;
27/07/2023;E;
28/07/2023;A;
29/07/2023;A;
30/07/2023;A;
31/07/2023;E;
01/08/2023;E;
02/08/2023;F;Manœuvre BPSM
03/08/2023;F;
04/08/2023;B;
05/08/2023;B;
06/08/2023;B;
07/08/2023;F;
08/08/2023;F;
09/08/2023;A;
10/08/2023;A;
11/08/2023;C;
12/08/2023;C;
13/08/2023;C;
14/08/2023;A;
15/08/2023;A;
16/08/2023;B;
17/08/2023;B;
18/08/2023;D;
19/08/2023;D;
20/08/2023;D;
21/08/2023;B;
22/08/2023;B;
23/08/2023;C;
24/08/2023;C;
25/08/2023;E;
26/08/2023;E;
27/08/2023;E;
28/08/2023;C;
29/08/2023;C;
30/08/2023;D;
31/08/2023;D;
01/09/2023;F;
02/09/2023;F;
03/09/2023;F;
04/09/2023;D;
05/09/2023;D;
06/09/2023;E;Manœuvre BPSM
07/09/2023;E;
08/09/2023;A;
09/09/2023;A;
10/09/2023;A;
11/09/2023;E;
12/09/2023;E;
13/09/2023;F;
14/09/2023;F;
15/09/2023;B;
16/09/2023;B;
17/09/2023;B;
18/09/2023;F;
19/09/2023;F;
20/09/2023;A;
21/09/2023;A;
22/09/2023;C;
23/09/2023;C;ICP + FMPA SUAP Eq A/C/E
24/09/2023;C;Manœuvre Mensuelle
25/09/2023;A;
26/09/2023;A;
27/09/2023;B;
28/09/2023;B;
29/09/2023;D;
30/09/2023;D;
01/10/2023;D;
02/10/2023;B;
03/10/2023;B;
04/10/2023;C;Manœuvre BPSM
05/10/2023;C;
06/10/2023;E;
07/10/2023;E;FMPA INC + OD Eq A/C/E
08/10/2023;E;
09/10/2023;C;
10/10/2023;C;
11/10/2023;D;
12/10/2023;D;
13/10/2023;F;
14/10/2023;F;FMPA INC + OD Eq B/D/F
15/10/2023;F;
16/10/2023;D;
17/10/2023;D;
18/10/2023;E;
19/10/2023;E;
20/10/2023;A;
21/10/2023;A;
22/10/2023;A;
23/10/2023;E;
24/10/2023;E;
25/10/2023;F;
26/10/2023;F;
27/10/2023;B;
28/10/2023;B;
29/10/2023;B;
30/10/2023;F;
31/10/2023;F;
01/11/2023;A;
02/11/2023;A;
03/11/2023;C;
04/11/2023;C;
05/11/2023;C;
06/11/2023;A;
07/11/2023;A;
08/11/2023;B;Manœuvre BPSM
09/11/2023;B;
10/11/2023;D;
11/11/2023;D;
12/11/2023;D;
13/11/2023;B;
14/11/2023;B;
15/11/2023;C;
16/11/2023;C;
17/11/2023;E;
18/11/2023;E;
19/11/2023;E;
20/11/2023;C;
21/11/2023;C;
22/11/2023;D;
23/11/2023;D;
24/11/2023;F;
25/11/2023;F;
26/11/2023;F;Manœuvre Mensuelle
27/11/2023;D;
28/11/2023;D;
29/11/2023;E;
30/11/2023;E;
01/12/2023;A;
02/12/2023;A;
03/12/2023;A;
04/12/2023;E;
05/12/2023;E;
06/12/2023;F;
07/12/2023;F;
08/12/2023;B;
09/12/2023;B;
10/12/2023;B;
11/12/2023;F;
12/12/2023;F;Manœuvre BPSM
13/12/2023;A;
14/12/2023;A;
15/12/2023;C;
16/12/2023;C;
17/12/2023;C;
18/12/2023;A;
19/12/2023;A;
20/12/2023;B;
21/12/2023;B;
22/12/2023;D;
23/12/2023;D;
24/12/2023;D;
25/12/2023;B;
26/12/2023;B;
27/12/2023;C;
28/12/2023;C;
29/12/2023;E;
30/12/2023;E;
31/12/2023;E;
